temperature,humidity,exposure_hours,activity_level,hydration_level,age_group,heat_index,risk_score,risk_label
29.0,59.6,7,extreme,moderate,46-55,31.0,0.956,extreme
39.7,52.1,4,moderate,poor,18-25,55.4,1.0,extreme
31.5,58.3,9,light,poor,36-45,35.6,1.0,extreme
29.7,50.4,11,light,moderate,36-45,30.7,0.607,moderate
38.1,82.6,11,moderate,well,36-45,74.1,1.0,extreme
27.1,56.9,10,light,poor,55+,28.0,0.947,extreme
25.8,59.7,6,light,well,46-55,26.0,0.381,low
38.5,64.3,10,light,well,18-25,60.0,0.979,extreme
34.9,41.5,11,light,poor,36-45,37.4,1.0,extreme
33.8,80.1,10,moderate,moderate,26-35,51.5,0.996,extreme
32.7,61.2,5,light,poor,18-25,39.1,0.963,extreme
29.3,50.5,2,extreme,poor,26-35,30.1,0.879,extreme
22.9,58.8,5,heavy,poor,26-35,22.8,0.627,moderate
32.7,45.4,6,light,well,46-55,34.6,0.692,moderate
29.1,88.2,7,extreme,poor,46-55,37.0,0.99,extreme
31.1,52.9,12,moderate,poor,26-35,33.4,0.937,extreme
30.8,29.2,2,moderate,well,36-45,29.4,0.324,low
38.8,52.1,7,extreme,well,18-25,52.2,1.0,extreme
41.7,56.5,5,extreme,poor,46-55,66.3,1.0,extreme
32.1,68.0,11,extreme,moderate,46-55,40.0,1.0,extreme
34.0,34.1,8,light,moderate,36-45,34.0,0.625,moderate
36.3,74.9,3,moderate,well,46-55,58.8,0.988,extreme
25.8,85.8,3,light,poor,36-45,26.6,0.348,low
24.7,60.5,2,extreme,poor,26-35,24.8,0.652,moderate
39.5,63.8,7,heavy,moderate,46-55,63.9,0.997,extreme
32.1,67.2,10,heavy,poor,26-35,39.8,1.0,extreme
31.7,52.8,3,extreme,well,18-25,34.5,0.755,high
28.5,55.9,5,moderate,poor,46-55,29.7,0.873,extreme
26.0,65.7,3,heavy,well,36-45,26.4,0.358,low
26.3,86.8,7,heavy,moderate,26-35,28.6,0.6,moderate
39.7,36.8,2,moderate,poor,46-55,45.9,1.0,extreme
33.2,46.9,9,extreme,moderate,26-35,35.8,0.994,extreme
23.7,70.2,4,light,moderate,36-45,23.9,0.269,low
34.3,46.8,8,moderate,poor,55+,38.0,0.994,extreme
27.2,72.7,5,moderate,poor,46-55,29.5,0.808,high
32.6,64.6,7,light,moderate,55+,40.2,0.981,extreme
32.6,31.7,10,extreme,well,18-25,31.7,0.967,extreme
35.9,55.3,2,heavy,poor,46-55,45.4,1.0,extreme
30.4,48.2,5,heavy,well,55+,31.3,0.706,high
30.9,47.9,4,heavy,moderate,36-45,32.0,0.76,high
27.9,84.5,9,heavy,poor,26-35,32.4,0.942,extreme
28.9,69.7,11,extreme,moderate,18-25,32.4,0.96,extreme
34.6,61.4,1,heavy,moderate,55+,44.5,0.994,extreme
40.6,77.0,7,heavy,well,36-45,82.5,1.0,extreme
38.4,64.3,7,light,poor,26-35,59.6,1.0,extreme
39.8,64.3,2,extreme,poor,55+,65.4,0.958,extreme
35.1,38.4,10,moderate,well,55+,36.9,0.895,extreme
34.7,70.6,5,extreme,well,46-55,49.5,0.997,extreme
34.0,73.6,12,extreme,well,18-25,48.6,0.954,extreme
37.2,74.3,7,moderate,well,26-35,62.3,1.0,extreme
38.3,62.8,2,light,moderate,18-25,58.0,0.938,extreme
36.9,43.9,6,moderate,well,26-35,42.8,0.892,extreme
39.1,49.2,10,heavy,moderate,26-35,51.4,0.99,extreme
34.2,79.3,10,moderate,moderate,18-25,52.5,0.976,extreme
26.5,43.9,10,moderate,moderate,18-25,26.3,0.668,moderate
43.1,63.6,5,moderate,poor,26-35,80.5,1.0,extreme
25.1,66.7,7,light,moderate,26-35,25.4,0.318,low
38.1,79.0,12,moderate,poor,26-35,70.9,0.933,extreme
33.7,63.0,2,heavy,moderate,26-35,42.5,1.0,extreme
33.5,88.2,6,moderate,poor,36-45,54.7,1.0,extreme
26.4,50.2,8,moderate,moderate,18-25,26.4,0.44,moderate
38.3,69.0,2,moderate,well,18-25,63.2,1.0,extreme
33.2,40.5,1,light,well,55+,34.2,0.68,moderate
36.9,52.8,6,heavy,well,55+,47.0,0.976,extreme
39.1,51.2,3,moderate,moderate,36-45,52.6,0.899,extreme
33.7,74.0,7,heavy,poor,46-55,47.8,0.981,extreme
37.5,66.0,8,extreme,well,36-45,57.2,1.0,extreme
29.7,62.8,10,light,well,46-55,32.8,0.943,extreme
27.5,48.5,7,extreme,poor,26-35,27.8,0.942,extreme
38.0,63.2,2,heavy,moderate,26-35,57.2,0.98,extreme
35.2,73.4,10,heavy,poor,46-55,53.3,0.986,extreme
29.5,61.4,8,heavy,moderate,26-35,32.1,0.918,extreme
33.9,66.1,2,moderate,well,18-25,44.4,0.818,high
37.5,65.4,9,heavy,moderate,18-25,56.8,1.0,extreme
36.9,52.5,7,light,well,26-35,46.8,0.754,high
35.3,53.6,2,moderate,poor,36-45,42.9,0.961,extreme
20.7,61.3,9,extreme,moderate,55+,20.4,0.99,extreme
30.2,57.7,7,light,moderate,36-45,32.7,0.666,moderate
31.1,52.1,7,heavy,poor,18-25,33.2,1.0,extreme
34.2,48.4,12,extreme,poor,36-45,38.2,0.947,extreme
29.5,45.6,5,heavy,well,36-45,29.7,0.531,moderate
27.5,37.7,10,extreme,moderate,18-25,27.1,1.0,extreme
28.0,54.0,3,moderate,well,55+,28.8,0.58,moderate
34.8,41.9,12,light,poor,46-55,37.5,0.871,extreme
36.0,33.6,5,moderate,moderate,26-35,37.1,0.644,moderate
34.1,87.5,10,heavy,poor,36-45,57.4,0.984,extreme
35.4,56.1,11,extreme,poor,36-45,44.3,0.916,extreme
30.9,75.2,12,light,moderate,36-45,39.0,0.945,extreme
25.3,69.0,12,extreme,moderate,55+,25.7,0.994,extreme
34.4,50.2,2,light,poor,46-55,39.3,0.98,extreme
32.1,64.8,4,light,well,55+,38.7,0.614,moderate
31.8,84.3,9,light,poor,18-25,45.4,1.0,extreme
31.7,44.5,9,heavy,poor,18-25,32.7,0.986,extreme
35.9,46.2,11,extreme,well,26-35,41.2,1.0,extreme
31.5,51.5,9,moderate,well,18-25,33.7,0.797,high
36.4,79.4,1,heavy,well,55+,62.8,0.962,extreme
38.1,84.3,5,light,well,18-25,75.8,1.0,extreme
32.5,67.8,6,extreme,moderate,36-45,41.2,1.0,extreme
33.7,57.2,9,light,poor,18-25,40.4,0.988,extreme
39.2,62.2,5,light,moderate,36-45,61.3,1.0,extreme
39.0,69.9,6,light,poor,36-45,66.8,0.955,extreme
33.8,64.1,5,extreme,moderate,26-35,43.4,0.911,extreme
20.4,61.3,3,light,well,46-55,20.1,0.269,low
27.2,45.7,1,light,well,36-45,27.3,0.217,low
33.7,79.7,3,light,well,46-55,51.0,1.0,extreme
31.7,47.2,5,moderate,well,46-55,33.2,0.844,high
26.9,65.5,1,light,well,55+,28.4,0.355,low
29.9,46.9,1,extreme,moderate,18-25,30.4,0.735,high
30.3,41.2,10,heavy,poor,46-55,30.1,0.933,extreme
26.5,65.6,11,heavy,moderate,55+,27.8,0.998,extreme
25.5,49.8,8,moderate,well,46-55,25.4,0.39,low
25.6,62.0,12,heavy,poor,46-55,25.8,0.97,extreme
33.7,69.9,10,extreme,well,18-25,45.6,0.98,extreme
31.1,52.4,4,light,moderate,36-45,33.2,0.578,moderate
33.1,76.0,8,heavy,moderate,55+,46.4,0.981,extreme
35.4,64.2,6,extreme,well,36-45,48.6,1.0,extreme
27.3,76.4,3,heavy,moderate,18-25,30.1,0.52,moderate
28.7,70.4,4,moderate,moderate,26-35,32.2,0.611,moderate
23.1,82.4,6,light,poor,46-55,23.6,0.628,moderate
33.6,36.0,1,light,moderate,26-35,33.8,0.714,high
34.4,49.6,12,heavy,poor,18-25,39.2,0.99,extreme
24.4,55.6,12,extreme,well,26-35,24.4,0.818,high
31.4,72.2,9,extreme,poor,18-25,39.5,1.0,extreme
36.4,65.5,2,light,well,26-35,52.9,0.889,extreme
33.2,56.5,11,extreme,moderate,55+,38.8,0.988,extreme
25.9,55.8,1,light,poor,18-25,26.0,0.33,low
27.5,48.9,11,light,well,46-55,27.9,0.712,high
28.5,70.6,2,extreme,well,55+,31.8,0.769,high
23.8,48.9,8,heavy,moderate,46-55,23.5,0.626,moderate
29.9,38.3,7,moderate,well,46-55,29.4,0.628,moderate
34.1,53.4,6,moderate,well,26-35,39.7,0.877,extreme
30.6,52.2,10,light,poor,26-35,32.4,0.965,extreme
35.5,83.0,2,moderate,moderate,18-25,61.0,1.0,extreme
33.3,42.6,6,light,well,36-45,34.8,0.588,moderate
29.5,100.0,3,heavy,moderate,46-55,41.8,0.876,extreme
34.8,60.0,9,light,poor,46-55,44.5,1.0,extreme
37.4,78.3,2,heavy,poor,18-25,66.8,0.996,extreme
40.7,27.1,2,moderate,moderate,55+,43.2,0.952,extreme
41.0,55.3,5,moderate,well,18-25,62.6,1.0,extreme
38.2,67.8,7,extreme,moderate,36-45,61.6,0.992,extreme
32.7,40.4,1,heavy,well,36-45,33.4,0.721,high
31.4,68.4,8,extreme,moderate,18-25,38.2,0.928,extreme
29.9,71.5,9,heavy,moderate,26-35,35.1,1.0,extreme
28.5,26.7,1,extreme,moderate,26-35,27.3,0.746,high
31.3,65.8,1,light,poor,26-35,37.0,0.677,moderate
34.4,41.0,12,light,poor,55+,36.4,0.921,extreme
22.4,40.9,6,heavy,poor,55+,21.7,0.79,high
31.2,70.9,3,extreme,moderate,18-25,38.4,0.951,extreme
27.2,39.0,12,moderate,poor,46-55,27.0,0.876,extreme
33.7,84.5,8,extreme,well,46-55,53.7,1.0,extreme
31.4,65.2,3,heavy,poor,26-35,37.3,0.924,extreme
27.4,70.2,10,moderate,well,36-45,29.6,0.706,high
26.5,59.3,5,moderate,moderate,18-25,27.4,0.516,moderate
26.5,54.6,8,light,moderate,55+,26.6,0.479,moderate
30.5,60.1,11,moderate,moderate,36-45,33.9,0.974,extreme
26.0,48.5,7,extreme,poor,36-45,26.0,0.868,extreme
29.4,40.2,5,moderate,moderate,55+,29.1,0.712,high
34.1,27.2,8,light,well,46-55,33.0,0.721,high
41.8,75.2,8,extreme,well,26-35,87.5,0.912,extreme
33.1,62.2,5,moderate,moderate,36-45,40.7,1.0,extreme
42.7,44.7,10,extreme,moderate,18-25,59.5,0.935,extreme
32.6,44.1,11,moderate,poor,26-35,34.0,0.987,extreme
28.6,69.0,8,light,poor,36-45,31.7,0.638,moderate
32.4,68.7,7,moderate,moderate,46-55,41.2,1.0,extreme
29.2,40.7,11,extreme,moderate,36-45,28.9,1.0,extreme
27.7,54.1,10,heavy,moderate,18-25,28.4,0.935,extreme
36.5,53.3,9,light,moderate,46-55,46.2,0.976,extreme
26.8,50.0,6,moderate,poor,46-55,27.2,0.842,high
30.9,44.9,9,light,well,36-45,31.6,0.583,moderate
21.5,23.0,11,light,well,46-55,20.3,0.561,moderate
37.6,62.9,7,heavy,well,18-25,55.6,1.0,extreme
36.5,71.4,10,light,moderate,46-55,57.0,1.0,extreme
30.5,46.1,4,extreme,moderate,26-35,31.2,0.814,high
29.8,41.3,11,moderate,poor,36-45,29.6,0.858,extreme
34.1,76.6,12,moderate,poor,36-45,50.5,0.967,extreme
22.1,46.4,4,extreme,moderate,18-25,21.6,0.422,moderate
22.9,41.8,5,heavy,moderate,55+,22.3,0.721,high
27.5,59.1,7,heavy,moderate,46-55,28.7,0.801,high
33.2,60.3,6,extreme,well,55+,40.2,1.0,extreme
22.3,93.8,2,moderate,well,18-25,23.0,0.228,low
37.1,71.6,5,light,poor,18-25,59.9,1.0,extreme
28.9,73.3,1,extreme,moderate,46-55,33.2,1.0,extreme
35.5,53.8,8,heavy,moderate,18-25,43.7,1.0,extreme
27.5,43.3,1,heavy,well,26-35,27.5,0.433,moderate
29.9,52.1,5,extreme,well,18-25,31.2,0.723,high
35.3,32.6,10,moderate,poor,18-25,35.8,0.939,extreme
27.5,58.6,3,light,moderate,36-45,28.6,0.282,low
33.1,57.6,7,extreme,well,18-25,39.0,0.93,extreme
31.6,60.7,10,light,poor,26-35,36.4,1.0,extreme
33.8,67.5,4,light,well,18-25,44.8,0.707,high
35.9,56.3,2,extreme,moderate,46-55,45.8,0.949,extreme
32.7,66.5,2,extreme,moderate,36-45,41.1,1.0,extreme
24.2,59.2,3,heavy,well,55+,24.2,0.457,moderate
20.2,54.2,2,heavy,poor,36-45,19.7,0.617,moderate
32.1,41.7,4,moderate,poor,36-45,32.7,0.794,high
35.6,71.5,11,moderate,well,18-25,53.5,1.0,extreme
32.7,23.2,7,extreme,well,36-45,30.9,0.65,moderate
25.2,55.7,2,light,well,26-35,25.2,0.132,low
30.9,69.0,1,extreme,poor,46-55,36.9,1.0,extreme
30.0,59.1,3,moderate,well,26-35,32.7,0.523,moderate
38.1,45.4,7,light,moderate,46-55,46.5,0.955,extreme
29.0,53.3,10,moderate,well,26-35,30.1,0.654,moderate
28.9,63.9,4,extreme,well,46-55,31.6,0.846,high
29.9,49.1,4,moderate,moderate,55+,30.8,0.507,moderate
35.8,42.3,3,extreme,moderate,46-55,39.6,1.0,extreme
40.5,55.7,5,light,well,46-55,61.0,1.0,extreme
33.2,43.7,3,moderate,poor,55+,35.0,0.975,extreme
31.7,60.6,9,extreme,poor,26-35,36.6,0.983,extreme
29.9,47.8,11,moderate,poor,36-45,30.5,0.875,extreme
28.6,42.6,8,extreme,moderate,26-35,28.5,0.785,high
31.7,81.3,2,extreme,poor,46-55,44.0,1.0,extreme
31.3,63.3,10,heavy,poor,55+,36.4,0.963,extreme
29.3,56.3,2,light,well,46-55,30.9,0.42,moderate
34.7,51.3,9,light,moderate,36-45,40.5,0.984,extreme
29.1,72.4,12,heavy,well,18-25,33.5,0.92,extreme
30.8,84.5,4,heavy,poor,18-25,41.8,0.918,extreme
39.0,53.9,12,light,moderate,26-35,54.1,1.0,extreme
39.6,39.2,11,heavy,poor,46-55,46.7,0.996,extreme
37.0,43.6,3,extreme,poor,46-55,42.7,0.939,extreme
20.7,61.5,2,heavy,well,36-45,20.5,0.26,low
33.4,70.3,11,heavy,well,36-45,44.8,0.962,extreme
36.9,59.8,3,extreme,well,46-55,51.0,1.0,extreme
30.9,53.4,12,light,well,26-35,33.0,0.914,extreme
40.1,55.6,5,moderate,moderate,46-55,59.5,0.988,extreme
30.8,60.0,11,extreme,moderate,36-45,34.3,0.952,extreme
33.1,81.2,11,extreme,moderate,36-45,49.1,0.893,extreme
26.4,69.3,10,light,well,18-25,27.9,0.551,moderate
30.2,51.4,7,light,moderate,46-55,31.6,0.489,moderate
28.8,82.5,2,heavy,poor,18-25,34.6,0.916,extreme
28.8,63.8,7,heavy,well,46-55,31.3,0.667,moderate
35.8,61.1,7,moderate,moderate,26-35,48.0,1.0,extreme
30.1,88.2,5,extreme,moderate,36-45,40.5,1.0,extreme
29.5,58.6,1,light,moderate,26-35,31.7,0.334,low
38.7,44.7,9,light,poor,46-55,47.4,0.923,extreme
28.4,63.3,1,light,moderate,46-55,30.5,0.514,moderate
32.4,63.3,2,moderate,poor,55+,39.2,0.994,extreme
25.6,67.8,11,heavy,well,26-35,26.0,0.523,moderate
24.8,48.9,9,extreme,poor,36-45,24.6,0.997,extreme
30.4,62.0,6,light,well,18-25,34.0,0.61,moderate
40.4,31.8,2,moderate,well,55+,44.8,0.975,extreme
30.0,61.5,10,extreme,moderate,18-25,33.2,0.914,extreme
34.9,64.6,10,extreme,poor,26-35,47.2,1.0,extreme
32.6,50.1,9,extreme,poor,36-45,35.5,0.922,extreme
26.1,48.0,6,heavy,moderate,55+,26.0,0.632,moderate
35.0,86.5,6,light,poor,55+,60.9,0.939,extreme
33.7,51.4,12,moderate,moderate,36-45,38.2,0.98,extreme
31.1,46.5,1,heavy,poor,36-45,32.2,0.892,extreme
33.4,74.5,6,heavy,poor,46-55,46.9,0.863,extreme
30.6,43.0,10,light,moderate,18-25,30.8,0.661,moderate
